audit_order,research_item_id,sa_item_id,human_reference_fidelity_label
73,RES-000576,SA_0171,Accurate
74,RES-005730,SA_0661,Accurate
75,RES-007244,SA_0806,Accurate
76,RES-001750,SA_0389,Accurate
77,RES-001683,SA_0380,Accurate
78,RES-006463,SA_0724,Accurate
79,RES-003257,SA_0532,Accurate
80,RES-004648,SA_0606,Accurate
81,RES-000959,SA_0277,Accurate
82,RES-004816,SA_0618,Accurate
83,RES-000056,SA_0013,Accurate
84,RES-008981,SA_1314,Accurate
85,RES-005513,SA_0645,Accurate
86,RES-000082,SA_0025,Accurate
87,RES-003116,SA_0525,Accurate
88,RES-008417,SA_1276,Accurate
89,RES-000117,SA_0039,Accurate
90,RES-005519,SA_0646,Accurate
91,RES-004194,SA_0582,Accurate
92,RES-002340,SA_0495,Accurate
93,RES-000700,SA_0192,Accurate
94,RES-010518,SA_1412,Accurate
95,RES-007940,SA_1092,Accurate
96,RES-004750,SA_0612,Accurate
97,RES-007777,SA_1014,Accurate
98,RES-000439,SA_0135,Accurate
99,RES-004044,SA_0576,Accurate
100,RES-000763,SA_0213,Accurate
101,RES-007806,SA_1033,Accurate
102,RES-000661,SA_0185,Accurate
103,RES-007830,SA_1044,Accurate
104,RES-001669,SA_0378,Accurate
105,RES-002032,SA_0433,Accurate
106,RES-007760,SA_1003,Accurate
107,RES-005107,SA_0635,Accurate
108,RES-002207,SA_0475,Accurate
109,RES-009627,SA_1364,Accurate
110,RES-007011,SA_0786,Accurate
111,RES-008351,SA_1260,Accurate
112,RES-007368,SA_0814,Accurate
113,RES-010779,SA_1458,Accurate
114,RES-005908,SA_0673,Accurate
115,RES-008485,SA_1285,Accurate
116,RES-009875,SA_1376,Accurate
117,RES-008318,SA_1243,Accurate
118,RES-006266,SA_0702,Accurate
119,RES-004625,SA_0602,Accurate
120,RES-006186,SA_0697,Accurate
121,RES-000498,SA_0153,Accurate
122,RES-002045,SA_0436,Accurate
123,RES-006714,SA_0754,Accurate
124,RES-006864,SA_0769,Accurate
125,RES-007829,SA_1043,Accurate
126,RES-007895,SA_1071,Accurate
127,RES-007782,SA_1017,Accurate
128,RES-002244,SA_0481,Accurate
129,RES-007788,SA_1023,Accurate
130,RES-007382,SA_0821,Accurate
131,RES-000532,SA_0162,Accurate
132,RES-000939,SA_0273,Accurate
133,RES-002065,SA_0438,Accurate
134,RES-009007,SA_1316,Accurate
135,RES-000463,SA_0146,Accurate
136,RES-007710,SA_0976,Accurate
137,RES-001657,SA_0376,Accurate
138,RES-008320,SA_1244,Accurate
139,RES-000784,SA_0223,Accurate
140,RES-008193,SA_1194,Accurate
141,RES-000706,SA_0194,Accurate
142,RES-008912,SA_1305,Accurate
143,RES-004107,SA_0578,Accurate
144,RES-004885,SA_0624,Accurate
145,RES-000088,SA_0028,Accurate
146,RES-007613,SA_0927,Accurate
147,RES-010765,SA_1454,Accurate
148,RES-010563,SA_1420,Accurate
149,RES-007660,SA_0954,Accurate
150,RES-005761,SA_0663,Accurate
151,RES-010716,SA_1445,Accurate
152,RES-010494,SA_1407,Accurate
153,RES-001590,SA_0363,Accurate
154,RES-000288,SA_0094,Accurate
155,RES-001272,SA_0314,Accurate
156,RES-004757,SA_0613,Accurate
157,RES-008052,SA_1142,Accurate
158,RES-008273,SA_1222,Accurate
159,RES-001245,SA_0308,Accurate
160,RES-002119,SA_0453,Accurate
161,RES-000823,SA_0241,Accurate
162,RES-001169,SA_0302,Accurate
163,RES-001070,SA_0295,Accurate
164,RES-008113,SA_1165,Accurate
165,RES-001509,SA_0353,Accurate
166,RES-000370,SA_0116,Accurate
167,RES-003626,SA_0553,Accurate
168,RES-007761,SA_1004,Accurate
169,RES-000888,SA_0271,Accurate
170,RES-004217,SA_0586,Accurate
171,RES-006475,SA_0725,Accurate
172,RES-000885,SA_0270,Accurate
173,RES-007486,SA_0868,Accurate
174,RES-000714,SA_0196,Accurate
175,RES-000421,SA_0131,Accurate
176,RES-004785,SA_0615,Accurate
177,RES-006820,SA_0763,Accurate
178,RES-007416,SA_0835,Accurate
179,RES-007420,SA_0836,Accurate
180,RES-007698,SA_0970,Accurate
181,RES-003919,SA_0570,Accurate
182,RES-003825,SA_0564,Accurate
183,RES-010498,SA_1408,Accurate
184,RES-007817,SA_1037,Accurate
185,RES-002307,SA_0491,Accurate
186,RES-000315,SA_0103,Accurate
187,RES-007552,SA_0899,Accurate
188,RES-005989,SA_0683,Accurate
189,RES-001876,SA_0411,Accurate
190,RES-008148,SA_1182,Accurate
191,RES-002197,SA_0474,Accurate
192,RES-009560,SA_1354,Accurate
193,RES-006385,SA_0717,Accurate
194,RES-001326,SA_0327,Accurate
195,RES-001765,SA_0393,Accurate
196,RES-007161,SA_0803,Accurate
197,RES-000449,SA_0140,Accurate
198,RES-007762,SA_1005,Accurate
199,RES-007430,SA_0842,Accurate
200,RES-010782,SA_1459,Accurate
201,RES-003661,SA_0554,Accurate
202,RES-007914,SA_1081,Accurate
203,RES-006307,SA_0708,Accurate
204,RES-007487,SA_0869,Accurate
205,RES-000308,SA_0101,Accurate
206,RES-007404,SA_0830,Accurate
207,RES-006888,SA_0773,Accurate
208,RES-005889,SA_0670,Accurate
209,RES-007874,SA_1062,Accurate
210,RES-007819,SA_1038,Accurate
