research_item_id,sa_item_id,claude_sonnet_4_thinking_correct,gemini_2_5_pro_correct,grok_4_correct,openai_o3_correct,n_models_correct,all_models_incorrect
RES-001144,SA_0300,0,0,0,0,0,1
RES-001150,SA_0301,1,1,0,1,3,0
RES-001169,SA_0302,0,1,1,1,3,0
RES-001183,SA_0303,0,0,0,0,0,1
RES-001186,SA_0304,0,0,0,0,0,1
RES-001213,SA_0305,0,0,0,0,0,1
RES-001226,SA_0306,0,0,0,0,0,1
RES-001231,SA_0307,1,1,1,1,4,0
RES-001245,SA_0308,0,0,0,0,0,1
RES-001250,SA_0309,1,0,0,1,2,0
RES-001254,SA_0310,0,0,0,0,0,1
RES-001256,SA_0311,0,0,1,0,1,0
RES-001257,SA_0312,0,0,0,0,0,1
RES-001261,SA_0313,0,0,0,0,0,1
RES-001272,SA_0314,1,0,0,0,1,0
RES-001275,SA_0315,1,0,0,0,1,0
RES-001277,SA_0316,1,0,0,0,1,0
RES-001278,SA_0317,1,1,1,1,4,0
RES-001288,SA_0318,0,0,0,0,0,1
RES-001292,SA_0319,0,1,0,1,2,0
RES-001294,SA_0320,0,0,0,0,0,1
RES-001302,SA_0321,0,0,0,0,0,1
RES-001310,SA_0322,0,0,0,0,0,1
RES-001313,SA_0323,0,0,0,0,0,1
RES-001315,SA_0324,0,0,0,0,0,1
RES-001317,SA_0325,1,0,1,0,2,0
RES-001324,SA_0326,0,0,0,0,0,1
RES-001326,SA_0327,1,1,1,1,4,0
RES-001343,SA_0328,0,1,0,0,1,0
RES-001345,SA_0329,1,0,0,0,1,0
RES-001353,SA_0330,0,0,0,0,0,1
RES-001358,SA_0331,0,0,0,0,0,1
RES-001359,SA_0332,0,0,0,0,0,1
RES-001365,SA_0333,0,0,0,1,1,0
RES-001369,SA_0334,0,0,0,0,0,1
RES-001377,SA_0335,0,0,0,0,0,1
RES-001381,SA_0336,0,0,0,0,0,1
RES-001385,SA_0337,0,0,0,0,0,1
RES-001387,SA_0338,0,1,0,0,1,0
RES-001400,SA_0339,0,0,0,0,0,1
RES-001405,SA_0340,0,1,0,0,1,0
RES-001411,SA_0341,0,0,0,0,0,1
RES-001412,SA_0342,1,1,0,1,3,0
RES-001413,SA_0343,1,0,0,0,1,0
RES-001417,SA_0344,1,1,1,1,4,0
RES-001447,SA_0345,1,1,1,1,4,0
RES-001449,SA_0346,0,0,0,0,0,1
RES-001460,SA_0347,1,0,0,0,1,0
RES-001493,SA_0348,1,1,1,1,4,0
RES-001495,SA_0349,0,0,0,0,0,1
RES-001497,SA_0350,0,0,0,0,0,1
RES-001500,SA_0351,0,0,0,0,0,1
RES-001503,SA_0352,1,1,0,1,3,0
RES-001509,SA_0353,0,0,0,0,0,1
RES-001514,SA_0354,0,0,0,0,0,1
RES-001530,SA_0355,1,1,1,1,4,0
RES-001541,SA_0356,1,1,1,1,4,0
RES-001543,SA_0357,0,1,0,1,2,0
RES-001567,SA_0358,0,0,0,0,0,1
RES-001574,SA_0359,0,0,0,0,0,1
RES-001575,SA_0360,0,0,0,0,0,1
RES-001577,SA_0361,0,0,0,0,0,1
RES-001588,SA_0362,1,0,0,0,1,0
RES-001590,SA_0363,1,1,1,1,4,0
RES-001598,SA_0364,1,1,1,0,3,0
RES-001599,SA_0365,0,0,0,0,0,1
RES-001608,SA_0366,0,0,0,0,0,1
RES-001612,SA_0367,0,0,1,1,2,0
RES-001617,SA_0368,0,0,0,0,0,1
RES-001619,SA_0369,0,0,1,0,1,0
RES-001624,SA_0370,1,1,1,1,4,0
RES-001625,SA_0371,0,0,1,1,2,0
RES-001629,SA_0372,0,0,0,0,0,1
RES-001633,SA_0373,1,1,1,1,4,0
RES-001634,SA_0374,1,1,1,1,4,0
RES-001637,SA_0375,1,1,0,1,3,0
RES-001657,SA_0376,1,1,1,1,4,0
RES-001667,SA_0377,0,0,0,0,0,1
RES-001669,SA_0378,0,0,0,0,0,1
RES-001673,SA_0379,0,0,0,0,0,1
RES-001683,SA_0380,0,0,1,1,2,0
RES-001684,SA_0381,1,1,0,0,2,0
RES-001690,SA_0382,1,1,1,1,4,0
RES-001691,SA_0383,0,1,1,0,2,0
RES-001704,SA_0384,0,0,0,0,0,1
RES-001720,SA_0385,0,0,0,0,0,1
RES-001724,SA_0386,0,0,0,1,1,0
RES-001740,SA_0387,0,0,0,0,0,1
RES-001746,SA_0388,0,0,1,0,1,0
RES-001750,SA_0389,0,0,0,0,0,1
RES-001751,SA_0390,0,0,0,0,0,1
RES-001752,SA_0391,0,0,0,1,1,0
RES-001761,SA_0392,0,0,0,0,0,1
RES-001765,SA_0393,0,0,0,0,0,1
RES-001767,SA_0394,0,1,1,0,2,0
RES-001768,SA_0395,0,0,0,0,0,1
RES-001783,SA_0396,1,0,0,0,1,0
RES-001787,SA_0397,0,0,0,0,0,1
RES-001792,SA_0398,0,0,0,0,0,1
RES-001800,SA_0399,0,0,0,0,0,1
RES-001811,SA_0400,0,0,0,0,0,1
RES-001813,SA_0401,0,0,0,0,0,1
RES-001823,SA_0402,0,0,0,0,0,1
RES-001828,SA_0403,0,1,1,0,2,0
RES-001831,SA_0404,0,0,1,0,1,0
RES-001834,SA_0405,0,0,0,0,0,1
RES-001837,SA_0406,0,0,0,0,0,1
RES-001845,SA_0407,0,1,0,1,2,0
RES-001852,SA_0408,0,0,0,0,0,1
RES-001855,SA_0409,0,0,1,0,1,0
RES-001873,SA_0410,1,0,0,0,1,0
RES-001876,SA_0411,1,1,1,1,4,0
RES-001878,SA_0412,0,0,1,0,1,0
RES-001894,SA_0413,1,1,1,1,4,0
RES-001896,SA_0414,0,1,0,0,1,0
RES-001909,SA_0415,0,0,0,0,0,1
RES-001910,SA_0416,0,0,0,0,0,1
RES-001917,SA_0417,0,0,0,0,0,1
RES-001934,SA_0418,0,0,0,0,0,1
RES-001950,SA_0419,0,0,0,0,0,1
RES-001951,SA_0420,0,0,0,0,0,1
RES-001952,SA_0421,0,0,0,0,0,1
RES-001966,SA_0422,0,1,0,1,2,0
RES-001970,SA_0423,1,1,1,1,4,0
RES-001971,SA_0424,0,0,0,0,0,1
RES-001973,SA_0425,1,1,1,1,4,0
RES-002000,SA_0426,1,1,1,1,4,0
RES-002001,SA_0427,1,1,1,1,4,0
RES-002007,SA_0428,1,1,1,1,4,0
RES-002013,SA_0429,0,0,0,0,0,1
RES-002021,SA_0430,0,0,0,0,0,1
RES-002028,SA_0431,0,0,0,0,0,1
RES-002031,SA_0432,1,1,1,1,4,0
RES-002032,SA_0433,0,0,0,0,0,1
RES-002037,SA_0434,0,0,0,0,0,1
RES-002043,SA_0435,0,0,0,0,0,1
RES-002045,SA_0436,1,1,1,1,4,0
RES-002046,SA_0437,1,1,1,1,4,0
RES-002065,SA_0438,0,0,0,0,0,1
RES-002073,SA_0439,0,0,0,0,0,1
RES-002076,SA_0440,0,0,0,0,0,1
RES-002083,SA_0441,0,0,0,0,0,1
RES-002088,SA_0442,1,0,1,1,3,0
RES-002089,SA_0443,0,0,0,0,0,1
RES-002094,SA_0444,0,0,0,0,0,1
RES-002098,SA_0445,0,0,0,0,0,1
RES-002100,SA_0446,1,1,1,0,3,0
RES-002101,SA_0447,0,0,0,0,0,1
RES-002104,SA_0448,0,0,0,0,0,1
RES-002105,SA_0449,1,1,1,0,3,0
RES-002106,SA_0450,0,0,0,0,0,1
RES-002109,SA_0451,0,0,0,0,0,1
RES-002113,SA_0452,0,0,0,0,0,1
RES-002119,SA_0453,0,0,1,0,1,0
RES-002124,SA_0454,0,0,0,0,0,1
RES-002126,SA_0455,0,1,0,0,1,0
RES-002131,SA_0456,0,0,0,0,0,1
RES-002136,SA_0457,0,0,0,0,0,1
RES-002142,SA_0458,0,0,0,0,0,1
RES-002150,SA_0459,0,0,0,0,0,1
RES-002156,SA_0460,1,1,1,0,3,0
RES-002157,SA_0461,0,0,0,0,0,1
RES-002164,SA_0462,0,0,0,0,0,1
RES-002167,SA_0463,0,0,0,0,0,1
RES-002169,SA_0464,0,0,0,0,0,1
RES-002171,SA_0465,1,1,1,1,4,0
RES-002176,SA_0466,0,0,0,0,0,1
RES-002177,SA_0467,0,0,0,0,0,1
RES-002180,SA_0468,0,0,0,0,0,1
RES-002182,SA_0469,0,0,0,0,0,1
RES-002183,SA_0470,0,0,0,0,0,1
RES-002188,SA_0471,0,0,0,0,0,1
RES-002190,SA_0472,0,0,0,0,0,1
RES-002195,SA_0473,0,1,0,0,1,0
RES-002197,SA_0474,0,0,0,0,0,1
RES-002207,SA_0475,0,0,0,0,0,1
RES-002209,SA_0476,0,1,0,0,1,0
RES-002230,SA_0477,0,0,0,0,0,1
RES-002233,SA_0478,1,0,1,0,2,0
RES-002239,SA_0479,0,0,0,0,0,1
RES-002243,SA_0480,1,1,0,1,3,0
RES-002244,SA_0481,0,0,0,0,0,1
RES-002249,SA_0482,0,0,0,0,0,1
RES-002264,SA_0483,1,0,0,0,1,0
RES-002267,SA_0484,0,1,0,0,1,0
RES-002275,SA_0485,0,0,1,0,1,0
RES-002285,SA_0486,0,0,0,0,0,1
RES-002291,SA_0487,0,0,0,0,0,1
RES-002297,SA_0488,1,1,0,0,2,0
RES-002302,SA_0489,1,0,0,0,1,0
RES-002306,SA_0490,0,0,0,0,0,1
RES-002307,SA_0491,0,0,0,0,0,1
RES-002312,SA_0492,1,1,1,0,3,0
RES-002314,SA_0493,0,0,0,0,0,1
RES-002315,SA_0494,0,0,0,0,0,1
RES-002340,SA_0495,0,0,0,0,0,1
RES-002348,SA_0496,0,1,0,1,2,0
RES-002368,SA_0497,0,0,0,0,0,1
RES-002371,SA_0498,0,0,0,0,0,1
RES-002372,SA_0499,0,1,1,0,2,0
RES-002387,SA_0500,0,0,0,0,0,1
RES-002396,SA_0501,0,1,0,0,1,0
RES-002398,SA_0502,0,0,0,0,0,1
RES-002405,SA_0503,1,0,1,1,3,0
RES-002451,SA_0504,0,0,0,0,0,1
RES-002470,SA_0505,0,0,0,0,0,1
RES-002483,SA_0506,0,1,0,0,1,0
RES-002486,SA_0507,0,0,0,0,0,1
RES-002498,SA_0508,0,1,0,0,1,0
RES-002499,SA_0509,0,0,0,0,0,1
RES-002541,SA_0510,0,0,0,0,0,1
RES-002597,SA_0511,0,0,0,0,0,1
RES-002603,SA_0512,0,0,0,0,0,1
RES-002650,SA_0513,0,1,0,0,1,0
RES-002660,SA_0514,0,0,0,0,0,1
RES-002749,SA_0515,0,0,0,0,0,1
RES-002756,SA_0516,0,0,0,0,0,1
RES-002903,SA_0517,0,1,0,0,1,0
RES-002979,SA_0518,0,0,0,1,1,0
RES-003020,SA_0519,0,0,0,0,0,1
RES-003022,SA_0520,1,1,1,1,4,0
RES-003043,SA_0521,0,0,0,0,0,1
RES-003057,SA_0522,0,0,0,0,0,1
RES-003074,SA_0523,0,1,0,0,1,0
RES-003082,SA_0524,0,0,0,0,0,1
RES-003116,SA_0525,0,1,0,0,1,0
RES-003168,SA_0526,0,0,0,0,0,1
RES-003194,SA_0527,0,0,0,0,0,1
RES-003196,SA_0528,0,0,0,0,0,1
RES-003219,SA_0529,1,1,1,1,4,0
RES-003224,SA_0530,0,0,0,0,0,1
RES-003231,SA_0531,0,0,0,1,1,0
RES-003257,SA_0532,1,1,1,0,3,0
RES-003269,SA_0533,0,0,0,0,0,1
RES-003296,SA_0534,0,0,0,0,0,1
RES-003307,SA_0535,0,0,0,0,0,1
RES-003324,SA_0536,0,0,1,0,1,0
RES-003335,SA_0537,1,1,0,0,2,0
RES-003358,SA_0538,0,0,0,0,0,1
RES-003362,SA_0539,1,0,1,1,3,0
RES-003365,SA_0540,0,0,0,0,0,1
RES-003380,SA_0541,0,0,0,0,0,1
RES-003383,SA_0542,0,0,0,0,0,1
RES-003387,SA_0543,0,0,1,0,1,0
RES-003405,SA_0544,0,0,0,0,0,1
RES-003426,SA_0545,0,0,0,0,0,1
RES-003444,SA_0546,0,1,0,0,1,0
RES-003475,SA_0547,0,0,0,0,0,1
RES-003487,SA_0548,0,1,0,1,2,0
RES-003550,SA_0549,0,0,0,0,0,1
RES-003611,SA_0550,0,0,0,0,0,1
RES-003614,SA_0551,0,0,0,0,0,1
RES-003620,SA_0552,1,1,1,0,3,0
RES-003626,SA_0553,0,0,0,0,0,1
RES-003661,SA_0554,0,1,0,1,2,0
RES-003668,SA_0555,0,0,0,0,0,1
RES-003715,SA_0556,0,0,0,0,0,1
RES-003723,SA_0557,0,1,1,0,2,0
RES-003731,SA_0558,1,0,1,1,3,0
RES-003737,SA_0559,0,1,0,0,1,0
RES-003761,SA_0560,1,1,0,0,2,0
RES-003770,SA_0561,0,0,0,1,1,0
RES-003786,SA_0562,0,0,0,1,1,0
RES-003804,SA_0563,0,1,0,0,1,0
RES-003825,SA_0564,1,1,1,0,3,0
RES-003832,SA_0565,0,0,0,0,0,1
RES-003837,SA_0566,0,0,1,0,1,0
RES-003843,SA_0567,0,0,0,0,0,1
RES-003859,SA_0568,0,1,0,0,1,0
RES-003910,SA_0569,1,0,0,0,1,0
RES-003919,SA_0570,0,0,0,0,0,1
RES-003920,SA_0571,0,0,0,0,0,1
RES-003954,SA_0572,0,1,0,0,1,0
RES-003976,SA_0573,0,1,1,0,2,0
RES-003984,SA_0574,0,0,1,0,1,0
RES-004028,SA_0575,0,0,1,1,2,0
RES-004044,SA_0576,0,1,0,1,2,0
