evaluation_id,case_id,model,question_type,numerical_accuracy,test_coverage,description_accuracy,hallucination_free,diagnostic_accuracy,reasoning_logic,evidence_support,relevance_to_diagnosis,clinical_feasibility,completeness,weighted_score,final_score,grade,critical_error_flag,critical_error_categories,score_capped,passed
EVAL-4d4b6b3370768e90,CLIN-004,Grok 4,Q2,,,,,5,3,3,,,,4.0,75.0,B,False,,False,True
EVAL-b13ed3c536521ee5,CLIN-004,Grok 4,Q3,,,,,,,,5,5,5,5.0,100.0,A,False,,False,True
EVAL-b3f0b7ed5a3c4909,CLIN-004,OpenAI O3,Q1,2,4,2,4,,,,,,,2.8,45.0,D,True,Severity Misclassification,True,False
EVAL-8ca7b07e3dcd7c7b,CLIN-004,OpenAI O3,Q2,,,,,5,4,3,,,,4.3,82.5,B,False,,False,True
EVAL-d852f8f9ce88bb6f,CLIN-004,OpenAI O3,Q3,,,,,,,,5,5,5,5.0,100.0,A,False,,False,True
EVAL-69656380868b6cbf,CLIN-004,Claude Sonnet 4 Thinking,Q1,5,5,4,4,,,,,,,4.7,92.5,A,False,,False,True
EVAL-f541da0de84d74e3,CLIN-004,Claude Sonnet 4 Thinking,Q2,,,,,5,4,3,,,,4.3,82.5,B,False,,False,True
EVAL-eaabd448b9e0ed9e,CLIN-004,Claude Sonnet 4 Thinking,Q3,,,,,,,,5,4,5,4.7,92.5,A,False,,False,True
EVAL-8208b7eab564b813,CLIN-005,Gemini 2.5 Pro,Q1,2,5,2,4,,,,,,,3.1,49.0,D,True,Severity Misclassification,True,False
EVAL-234356e081057d5a,CLIN-005,Gemini 2.5 Pro,Q2,,,,,5,5,3,,,,4.6,90.0,B,False,,False,True
EVAL-e9b9303e641fd955,CLIN-005,Gemini 2.5 Pro,Q3,,,,,,,,5,5,5,5.0,100.0,A,False,,False,True
EVAL-d1c31686b21b2bdc,CLIN-005,Grok 4,Q1,3,5,2,2,,,,,,,3.3,49.0,D,True,Fabricated or Erroneous Test Result;Severity Misclassification,True,False
EVAL-ad8ab4c11759598c,CLIN-005,Grok 4,Q2,,,,,3,3,3,,,,3.0,50.0,C,False,,False,True
EVAL-5d9100d179067ced,CLIN-005,Grok 4,Q3,,,,,,,,4,5,4,4.3,82.5,B,False,,False,True
EVAL-ab25b9e0662abb75,CLIN-005,OpenAI O3,Q1,2,5,2,2,,,,,,,2.9,47.5,D,True,Fabricated or Erroneous Test Result;Severity Misclassification,True,False
EVAL-78338d8db026a60e,CLIN-005,OpenAI O3,Q2,,,,,3,4,3,,,,3.3,57.5,C,False,,False,True
EVAL-c71f31bcda58995e,CLIN-005,OpenAI O3,Q3,,,,,,,,5,5,5,5.0,100.0,A,False,,False,True
EVAL-3a87a08507c8135d,CLIN-005,Claude Sonnet 4 Thinking,Q1,2,5,2,2,,,,,,,2.9,47.5,D,True,Fabricated or Erroneous Test Result;Severity Misclassification,True,False
EVAL-f02233bc50d76902,CLIN-005,Claude Sonnet 4 Thinking,Q2,,,,,4,3,3,,,,3.5,62.5,C,False,,False,True
EVAL-f949fee206cdd8e6,CLIN-005,Claude Sonnet 4 Thinking,Q3,,,,,,,,5,5,5,5.0,100.0,A,False,,False,True
EVAL-ece9740f8177abb6,CLIN-006,Gemini 2.5 Pro,Q1,5,3,5,4,,,,,,,4.3,82.5,B,False,,False,True
EVAL-409c707260b8f3e8,CLIN-006,Gemini 2.5 Pro,Q2,,,,,5,5,3,,,,4.6,90.0,B,False,,False,True
EVAL-462bca2087f02a4d,CLIN-006,Gemini 2.5 Pro,Q3,,,,,,,,5,5,5,5.0,100.0,A,False,,False,True
EVAL-7a35bca3fab6ac66,CLIN-006,Grok 4,Q1,5,5,2,4,,,,,,,4.3,49.0,D,True,Severity Misclassification;Type Misclassification,True,False
EVAL-6577af814279becb,CLIN-006,Grok 4,Q2,,,,,5,3,4,,,,4.2,80.0,B,False,,False,True
EVAL-43c62a7abfc7fad9,CLIN-006,Grok 4,Q3,,,,,,,,4,4,4,4.0,75.0,B,False,,False,True
EVAL-81a2ebcb2166ec99,CLIN-006,OpenAI O3,Q1,5,5,4,4,,,,,,,4.7,49.0,D,True,Laterality Confusion,True,False
EVAL-4336051f9eda5e59,CLIN-006,OpenAI O3,Q2,,,,,5,3,3,,,,4.0,75.0,B,False,,False,True
EVAL-60304aefcb127ea0,CLIN-006,OpenAI O3,Q3,,,,,,,,4,4,4,4.0,75.0,B,False,,False,True
EVAL-7617505c25f2ca89,CLIN-006,Claude Sonnet 4 Thinking,Q1,5,5,2,4,,,,,,,4.3,49.0,D,True,Laterality Confusion;Severity Misclassification;Type Misclassification,True,False
EVAL-e79c4b53ed86f688,CLIN-006,Claude Sonnet 4 Thinking,Q2,,,,,5,4,3,,,,4.3,82.5,B,False,,False,True
EVAL-e4fec7e8f6bb6f56,CLIN-006,Claude Sonnet 4 Thinking,Q3,,,,,,,,5,5,5,5.0,100.0,A,False,,False,True
EVAL-f933261384e94ced,CLIN-007,Gemini 2.5 Pro,Q1,5,5,2,4,,,,,,,4.3,49.0,D,True,Severity Misclassification,True,False
EVAL-b43b8f348cf5a1fe,CLIN-007,Gemini 2.5 Pro,Q2,,,,,5,5,4,,,,4.8,95.0,A,False,,False,True
EVAL-053dad44bd9806d0,CLIN-007,Gemini 2.5 Pro,Q3,,,,,,,,5,5,5,5.0,100.0,A,False,,False,True
EVAL-0509572e623595fd,CLIN-007,Grok 4,Q1,5,5,2,4,,,,,,,4.3,49.0,D,True,Severity Misclassification,True,False
EVAL-f4eebfffaedbf666,CLIN-007,Grok 4,Q2,,,,,2,4,3,,,,2.8,45.0,D,False,,False,False
EVAL-b37c87796e57a3c5,CLIN-007,Grok 4,Q3,,,,,,,,5,5,5,5.0,100.0,A,False,,False,True
EVAL-3f2617bc50057de5,CLIN-007,OpenAI O3,Q1,5,5,3,4,,,,,,,4.5,87.5,B,False,,False,True
EVAL-28eb8b0377104d6d,CLIN-007,OpenAI O3,Q2,,,,,2,4,3,,,,2.8,45.0,D,False,,False,False
EVAL-6819baf56393d03c,CLIN-007,OpenAI O3,Q3,,,,,,,,5,5,5,5.0,100.0,A,False,,False,True
EVAL-50bb45a26025b1b9,CLIN-007,Claude Sonnet 4 Thinking,Q1,5,4,4,4,,,,,,,4.4,85.0,B,False,,False,True
EVAL-f1145c3c0377945c,CLIN-007,Claude Sonnet 4 Thinking,Q2,,,,,2,3,3,,,,2.5,37.5,D,False,,False,False
EVAL-51c4fcbb56f535e6,CLIN-007,Claude Sonnet 4 Thinking,Q3,,,,,,,,5,5,5,5.0,100.0,A,False,,False,True
EVAL-b0e081f3db868ab0,CLIN-008,Gemini 2.5 Pro,Q1,2,5,3,4,,,,,,,3.3,57.5,C,False,,False,True
EVAL-e165908a2617f08b,CLIN-008,Gemini 2.5 Pro,Q2,,,,,5,5,3,,,,4.6,90.0,B,False,,False,True
EVAL-85437f7c641beee1,CLIN-008,Gemini 2.5 Pro,Q3,,,,,,,,4,5,4,4.3,82.5,B,False,,False,True
EVAL-cb297cf82399c823,CLIN-008,Grok 4,Q1,2,5,5,2,,,,,,,3.5,49.0,D,True,Fabricated or Erroneous Test Result,True,False
EVAL-d3a2ecfec8bf6f70,CLIN-008,Grok 4,Q2,,,,,5,5,3,,,,4.6,90.0,B,False,,False,True
EVAL-11db4cc63d77e643,CLIN-008,Grok 4,Q3,,,,,,,,5,5,5,5.0,100.0,A,False,,False,True
EVAL-a15e67fb3d9dd916,CLIN-008,OpenAI O3,Q1,2,5,2,2,,,,,,,2.9,47.5,D,True,Fabricated or Erroneous Test Result;Severity Misclassification;Type Misclassification,True,False
EVAL-ee55ba0ed5e7d4ce,CLIN-008,OpenAI O3,Q2,,,,,5,4,3,,,,4.3,82.5,B,False,,False,True
EVAL-fe3fb7ec86cf8b64,CLIN-008,OpenAI O3,Q3,,,,,,,,5,5,5,5.0,100.0,A,False,,False,True
EVAL-f3cc3d9d61ac3635,CLIN-008,Claude Sonnet 4 Thinking,Q1,2,5,5,4,,,,,,,3.7,67.5,C,False,,False,True
EVAL-78e1ebc570ab43f4,CLIN-008,Claude Sonnet 4 Thinking,Q2,,,,,5,4,3,,,,4.3,82.5,B,False,,False,True
EVAL-933fca5bed83c312,CLIN-008,Claude Sonnet 4 Thinking,Q3,,,,,,,,5,5,5,5.0,100.0,A,False,,False,True
EVAL-514a7455c7434746,CLIN-009,Gemini 2.5 Pro,Q1,2,5,3,4,,,,,,,3.3,57.5,C,False,,False,True
EVAL-a054f528fd117e2f,CLIN-009,Gemini 2.5 Pro,Q2,,,,,3,5,3,,,,3.6,65.0,C,False,,False,True
EVAL-e9092b76c8f4ed1f,CLIN-009,Gemini 2.5 Pro,Q3,,,,,,,,4,4,4,4.0,75.0,B,False,,False,True
EVAL-7d318fd0430adf35,CLIN-009,Grok 4,Q1,3,5,2,4,,,,,,,3.5,49.0,D,True,Severity Misclassification,True,False
EVAL-0cc26513eb316649,CLIN-009,Grok 4,Q2,,,,,3,3,3,,,,3.0,50.0,C,False,,False,True
EVAL-af2a74876c1102d6,CLIN-009,Grok 4,Q3,,,,,,,,5,5,5,5.0,100.0,A,False,,False,True
EVAL-fd223a7d173b813e,CLIN-009,OpenAI O3,Q1,2,5,4,4,,,,,,,3.5,62.5,C,False,,False,True
EVAL-82ead26d51befe0b,CLIN-009,OpenAI O3,Q2,,,,,3,5,3,,,,3.6,65.0,C,False,,False,True
EVAL-225e016555bcfef7,CLIN-009,OpenAI O3,Q3,,,,,,,,5,5,5,5.0,100.0,A,False,,False,True
EVAL-0f340ed8cb58cd0c,CLIN-009,Claude Sonnet 4 Thinking,Q1,2,5,4,4,,,,,,,3.5,49.0,D,True,Fabricated or Erroneous Test Result,True,False
EVAL-200d3845f4f98886,CLIN-009,Claude Sonnet 4 Thinking,Q2,,,,,3,4,3,,,,3.3,57.5,C,False,,False,True
EVAL-91e80afd9741a32e,CLIN-009,Claude Sonnet 4 Thinking,Q3,,,,,,,,5,4,5,4.7,92.5,A,False,,False,True
EVAL-9fd175f47bef93df,CLIN-010,Gemini 2.5 Pro,Q1,5,5,4,4,,,,,,,4.7,92.5,A,False,,False,True
EVAL-f097f1a9cd438725,CLIN-010,Gemini 2.5 Pro,Q2,,,,,3,5,3,,,,3.6,65.0,C,False,,False,True
EVAL-a3dcfc52e16143d6,CLIN-010,Gemini 2.5 Pro,Q3,,,,,,,,4,5,4,4.3,82.5,B,False,,False,True
EVAL-95f51fff2987dac5,CLIN-010,Grok 4,Q1,5,3,4,4,,,,,,,4.1,77.5,B,False,,False,True
EVAL-4be8c663c2f15630,CLIN-010,Grok 4,Q2,,,,,3,3,3,,,,3.0,50.0,C,False,,False,True
EVAL-3e4a6e47169645ae,CLIN-010,Grok 4,Q3,,,,,,,,5,5,5,5.0,100.0,A,False,,False,True
EVAL-eed4ab16e4999ba6,CLIN-010,OpenAI O3,Q1,5,3,4,4,,,,,,,4.1,77.5,B,False,,False,True
EVAL-11f8fa77a55ca9a9,CLIN-010,OpenAI O3,Q2,,,,,3,4,3,,,,3.3,57.5,C,False,,False,True
EVAL-d7bd1f60d803c9d6,CLIN-010,OpenAI O3,Q3,,,,,,,,3,5,3,3.6,65.0,C,False,,False,True
EVAL-e69d4dd3b72fce99,CLIN-010,Claude Sonnet 4 Thinking,Q1,5,3,2,4,,,,,,,3.7,49.0,D,True,Severity Misclassification,True,False
EVAL-78759f349d95c26a,CLIN-010,Claude Sonnet 4 Thinking,Q2,,,,,3,3,3,,,,3.0,50.0,C,False,,False,True
EVAL-7074f62d7340fbd2,CLIN-010,Claude Sonnet 4 Thinking,Q3,,,,,,,,4,4,4,4.0,75.0,B,False,,False,True
EVAL-d301b148f642d3b8,CLIN-011,Gemini 2.5 Pro,Q1,5,4,5,4,,,,,,,4.6,90.0,B,False,,False,True
EVAL-888b27b3e6c69592,CLIN-011,Gemini 2.5 Pro,Q2,,,,,5,5,3,,,,4.6,90.0,B,False,,False,True
EVAL-89a79f08f6daf4c5,CLIN-011,Gemini 2.5 Pro,Q3,,,,,,,,5,5,5,5.0,100.0,A,False,,False,True
EVAL-2aa2b588cc8a2eea,CLIN-011,Grok 4,Q1,5,5,5,4,,,,,,,4.9,97.5,A,False,,False,True
EVAL-9675b316c75fac27,CLIN-011,Grok 4,Q2,,,,,5,3,3,,,,4.0,75.0,B,False,,False,True
EVAL-387f384829b9bd67,CLIN-011,Grok 4,Q3,,,,,,,,5,5,5,5.0,100.0,A,False,,False,True
EVAL-1d33c2fda84a63da,CLIN-011,OpenAI O3,Q1,5,3,5,4,,,,,,,4.3,82.5,B,False,,False,True
EVAL-c7b02d99f7c708ad,CLIN-011,OpenAI O3,Q2,,,,,2,5,3,,,,3.1,52.5,C,False,,False,True
EVAL-514ec6c185e3382e,CLIN-011,OpenAI O3,Q3,,,,,,,,5,5,5,5.0,100.0,A,False,,False,True
EVAL-ceacede9057d8f48,CLIN-011,Claude Sonnet 4 Thinking,Q1,3,5,5,4,,,,,,,4.1,77.5,B,False,,False,True
EVAL-2cd6b779a1aa7997,CLIN-011,Claude Sonnet 4 Thinking,Q2,,,,,5,4,3,,,,4.3,82.5,B,False,,False,True
EVAL-806e250143003146,CLIN-011,Claude Sonnet 4 Thinking,Q3,,,,,,,,5,4,5,4.7,92.5,A,False,,False,True
EVAL-754dbab676644a52,CLIN-012,Gemini 2.5 Pro,Q1,3,5,5,4,,,,,,,4.1,77.5,B,False,,False,True
EVAL-b536e935e9651d4a,CLIN-012,Gemini 2.5 Pro,Q2,,,,,5,5,3,,,,4.6,90.0,B,False,,False,True
EVAL-9f5689b7ed7a5353,CLIN-012,Gemini 2.5 Pro,Q3,,,,,,,,5,5,5,5.0,100.0,A,False,,False,True
EVAL-e8a0dba28fb941b2,CLIN-012,Grok 4,Q1,3,3,2,4,,,,,,,2.9,47.5,D,True,Severity Misclassification,True,False
EVAL-122242ade184adc4,CLIN-012,Grok 4,Q2,,,,,5,3,3,,,,4.0,75.0,B,False,,False,True
EVAL-6b399776daebea35,CLIN-012,Grok 4,Q3,,,,,,,,5,4,5,4.7,92.5,A,False,,False,True
EVAL-d83cae7b79201871,CLIN-012,OpenAI O3,Q1,3,3,5,4,,,,,,,3.5,62.5,C,False,,False,True
EVAL-6abd3594a463bede,CLIN-012,OpenAI O3,Q2,,,,,5,5,3,,,,4.6,90.0,B,False,,False,True
EVAL-039b6524603fed2c,CLIN-012,OpenAI O3,Q3,,,,,,,,5,5,5,5.0,100.0,A,False,,False,True
EVAL-1c355ecc0d86fc62,CLIN-012,Claude Sonnet 4 Thinking,Q1,3,3,5,4,,,,,,,3.5,62.5,C,False,,False,True
EVAL-cbae70873f3de4af,CLIN-012,Claude Sonnet 4 Thinking,Q2,,,,,3,5,3,,,,3.6,65.0,C,False,,False,True
EVAL-72148a9a69e0a365,CLIN-012,Claude Sonnet 4 Thinking,Q3,,,,,,,,5,5,5,5.0,100.0,A,False,,False,True
EVAL-4b8fb6f3091c2277,CLIN-013,Gemini 2.5 Pro,Q1,5,3,2,4,,,,,,,3.7,49.0,D,True,Severity Misclassification,True,False
EVAL-a9f8e1056b321aeb,CLIN-013,Gemini 2.5 Pro,Q2,,,,,3,5,3,,,,3.6,65.0,C,False,,False,True
EVAL-db7a3ab7957595a6,CLIN-013,Gemini 2.5 Pro,Q3,,,,,,,,4,5,4,4.3,82.5,B,False,,False,True
EVAL-a465f9753f2eba7a,CLIN-013,Grok 4,Q1,5,3,2,4,,,,,,,3.7,49.0,D,True,Severity Misclassification,True,False
EVAL-de9126ed6752da85,CLIN-013,Grok 4,Q2,,,,,3,4,3,,,,3.3,57.5,C,False,,False,True
EVAL-f8403708ee64fb16,CLIN-013,Grok 4,Q3,,,,,,,,4,5,4,4.3,82.5,B,False,,False,True
EVAL-a54298f82c250ab4,CLIN-013,OpenAI O3,Q1,5,3,2,4,,,,,,,3.7,49.0,D,True,Severity Misclassification,True,False
EVAL-4d860220779811cc,CLIN-013,OpenAI O3,Q2,,,,,5,5,3,,,,4.6,90.0,B,False,,False,True
EVAL-bf6c405f756a5c60,CLIN-013,OpenAI O3,Q3,,,,,,,,3,5,3,3.6,65.0,C,False,,False,True
EVAL-a8bd814ad13281aa,CLIN-013,Claude Sonnet 4 Thinking,Q1,5,3,2,4,,,,,,,3.7,49.0,D,True,Severity Misclassification,True,False
EVAL-5643ce0d2480eb12,CLIN-013,Claude Sonnet 4 Thinking,Q2,,,,,3,4,3,,,,3.3,57.5,C,False,,False,True
EVAL-9e98bbb15daaf33e,CLIN-013,Claude Sonnet 4 Thinking,Q3,,,,,,,,4,5,4,4.3,82.5,B,False,,False,True
EVAL-81b17be4ba4bdce8,CLIN-014,Gemini 2.5 Pro,Q1,5,3,4,4,,,,,,,4.1,49.0,D,True,Type Misclassification,True,False
EVAL-ba4fe2ac84ddab02,CLIN-014,Gemini 2.5 Pro,Q2,,,,,3,5,3,,,,3.6,65.0,C,False,,False,True
EVAL-592b5d7484b07c2c,CLIN-014,Gemini 2.5 Pro,Q3,,,,,,,,3,5,3,3.6,65.0,C,False,,False,True
EVAL-03aa0d86e96bd7c1,CLIN-014,Grok 4,Q1,3,4,2,4,,,,,,,3.2,49.0,D,True,Severity Misclassification;Type Misclassification,True,False
EVAL-b5e696a9f8a31e49,CLIN-014,Grok 4,Q2,,,,,3,3,3,,,,3.0,50.0,C,False,,False,True
EVAL-56a9ee610fe6dcca,CLIN-014,Grok 4,Q3,,,,,,,,3,5,3,3.6,65.0,C,False,,False,True
EVAL-ea1eb6ca78e09579,CLIN-014,OpenAI O3,Q1,5,4,2,4,,,,,,,4.0,49.0,D,True,Type Misclassification,True,False
EVAL-7c1b4f2612409bdd,CLIN-014,OpenAI O3,Q2,,,,,3,3,3,,,,3.0,50.0,C,False,,False,True
EVAL-de0b554e34c0ec01,CLIN-014,OpenAI O3,Q3,,,,,,,,3,5,3,3.6,65.0,C,False,,False,True
EVAL-8ade65adfdc78177,CLIN-014,Claude Sonnet 4 Thinking,Q1,3,4,2,4,,,,,,,3.2,49.0,D,True,Type Misclassification,True,False
EVAL-f872495d77648ce8,CLIN-014,Claude Sonnet 4 Thinking,Q2,,,,,3,3,3,,,,3.0,50.0,C,False,,False,True
EVAL-fd1f57df31f819d8,CLIN-014,Claude Sonnet 4 Thinking,Q3,,,,,,,,4,5,4,4.3,82.5,B,False,,False,True
EVAL-dd6a92a97f77fe06,CLIN-015,Gemini 2.5 Pro,Q1,2,5,4,4,,,,,,,3.5,62.5,C,False,,False,True
EVAL-ed793989a0fc0f34,CLIN-015,Gemini 2.5 Pro,Q2,,,,,5,5,3,,,,4.6,90.0,B,False,,False,True
EVAL-80fff34944e835cb,CLIN-015,Gemini 2.5 Pro,Q3,,,,,,,,5,4,5,4.7,92.5,A,False,,False,True
EVAL-2f9ee9c50b0b86f7,CLIN-015,Grok 4,Q1,2,5,4,4,,,,,,,3.5,62.5,C,False,,False,True
EVAL-3203e5115c245bfc,CLIN-015,Grok 4,Q2,,,,,5,3,3,,,,4.0,75.0,B,False,,False,True
EVAL-ed82ccbed90e8ae0,CLIN-015,Grok 4,Q3,,,,,,,,5,4,5,4.7,92.5,A,False,,False,True
EVAL-e064f28919f9d69f,CLIN-015,OpenAI O3,Q1,2,5,4,4,,,,,,,3.5,62.5,C,False,,False,True
EVAL-cdbc19150c5a7585,CLIN-015,OpenAI O3,Q2,,,,,5,4,3,,,,4.3,82.5,B,False,,False,True
EVAL-bde7de34e2c41c0a,CLIN-015,OpenAI O3,Q3,,,,,,,,5,5,5,5.0,100.0,A,False,,False,True
EVAL-1c51d0dd91f83caf,CLIN-015,Claude Sonnet 4 Thinking,Q1,5,5,4,4,,,,,,,4.7,92.5,A,False,,False,True
EVAL-0b84e2ee2f619969,CLIN-015,Claude Sonnet 4 Thinking,Q2,,,,,5,4,3,,,,4.3,82.5,B,False,,False,True
EVAL-89e50165865e6442,CLIN-015,Claude Sonnet 4 Thinking,Q3,,,,,,,,5,4,5,4.7,92.5,A,False,,False,True
EVAL-a8d60c8fb880b387,CLIN-016,Gemini 2.5 Pro,Q1,5,4,5,4,,,,,,,4.6,90.0,B,False,,False,True
EVAL-3397f5a7e81010ed,CLIN-016,Gemini 2.5 Pro,Q2,,,,,2,5,3,,,,3.1,49.0,D,True,Missed Red Flag,True,False
EVAL-f58918339587cb68,CLIN-016,Gemini 2.5 Pro,Q3,,,,,,,,4,5,4,4.3,82.5,B,False,,False,True
EVAL-a65d0a5be8d23d53,CLIN-016,Grok 4,Q1,5,4,5,4,,,,,,,4.6,90.0,B,False,,False,True
EVAL-d5663ed439d21b84,CLIN-016,Grok 4,Q2,,,,,2,4,3,,,,2.8,45.0,D,True,Missed Red Flag,True,False
EVAL-51b7678665ecc60f,CLIN-016,Grok 4,Q3,,,,,,,,4,5,4,4.3,82.5,B,False,,False,True
EVAL-c416830693811fbc,CLIN-016,OpenAI O3,Q1,5,4,3,4,,,,,,,4.2,80.0,B,False,,False,True
EVAL-3a6d2c4932e05679,CLIN-016,OpenAI O3,Q2,,,,,2,3,3,,,,2.5,37.5,D,True,Missed Red Flag,True,False
EVAL-b18b12647287a1c1,CLIN-016,OpenAI O3,Q3,,,,,,,,4,5,4,4.3,82.5,B,False,,False,True
EVAL-1a91a8d7d964ee30,CLIN-016,Claude Sonnet 4 Thinking,Q1,3,4,4,4,,,,,,,3.6,65.0,C,False,,False,True
EVAL-087cac8f21da4ba9,CLIN-016,Claude Sonnet 4 Thinking,Q2,,,,,2,5,3,,,,3.1,49.0,D,True,Missed Red Flag,True,False
EVAL-f305ee044a046711,CLIN-016,Claude Sonnet 4 Thinking,Q3,,,,,,,,4,5,4,4.3,82.5,B,False,,False,True
EVAL-6f50f56ba6d80ad9,CLIN-017,Gemini 2.5 Pro,Q1,3,3,3,4,,,,,,,3.1,52.5,C,False,,False,True
